UID,Rk,Player,playerid,Age,Tm,Lg,Season,G_Totals,GS_Totals,MP_Totals,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,draftyr,draftrd,draftpk,SeasonN,DraftTeam,playedForDrafter,YrFirstSeason,DraftEra,Seasonstartyr,Seasonendyr,Salary,Source
houstal011997-98,6442,Allan Houston,houstal01,26,NYK,NBA,1997-98,82,82,2848,15.1,0.167,0.262,1.8,9.8,5.8,14.3,1.2,0.7,12.3,26.7,102,103,2.5,3.5,6.1,0.102,0.1,-0.6,-0.4,1.1,1993,1,11,5,DET,No,1993,HSEra,1997,1998,6000000.00, bballref 
houstby011995-96,6678,Byron Houston,houstby01,26,SAC,NBA,1995-96,25,0,276,13.1,0.047,0.406,13,22.3,17.6,4,2.4,1.9,18.4,14.7,110,104,0.3,0.4,0.7,0.117,-2.1,0.6,-1.5,0,1992,1,27,4,CHI,No,1992,HSEra,1995,1996,800000.00, bballref 
howardw012004-05,2737,Dwight Howard,howardw01,19,ORL,NBA,2004-05,82,82,2670,17.2,0.003,0.61,12.2,22.2,17.3,4.4,1.5,3.6,16.1,16.7,111,104,3.8,3.5,7.3,0.131,-0.5,1.5,1,2,2004,1,1,1,ORL,Yes,2004,HSEra,2004,2005,4179720.00, bballref 
howardw012005-06,2985,Dwight Howard,howardw01,20,ORL,NBA,2005-06,82,81,3021,19.3,0.002,0.679,12.1,29.2,20.9,7.2,1.2,3,15.9,21.3,108,103,4.2,4.4,8.6,0.137,-0.2,1.4,1.2,2.5,2004,1,1,2,ORL,Yes,2004,HSEra,2005,2006,4493160.00, bballref 
howardw012006-07,3242,Dwight Howard,howardw01,21,ORL,NBA,2006-07,82,82,3023,21.1,0.002,0.763,11.8,28.9,20.5,9.5,1.2,4.2,21.4,22.7,107,99,3.9,5.8,9.7,0.154,0.5,3.1,3.6,4.3,2004,1,1,3,ORL,Yes,2004,HSEra,2006,2007,4806720.00, bballref 
howardw012007-08,3508,Dwight Howard,howardw01,22,ORL,NBA,2007-08,82,82,3088,22.9,0.004,0.921,10.9,31.6,21.7,6.1,1.2,4.2,16.1,24.2,113,99,6.4,6.4,12.9,0.2,-0.2,2.5,2.2,3.3,2004,1,1,4,ORL,Yes,2004,HSEra,2007,2008,6061274.00, bballref 
howardw012008-09,3774,Dwight Howard,howardw01,23,ORL,NBA,2008-09,79,79,2821,25.4,0.002,0.867,13.8,29.5,21.8,7.3,1.4,5.9,15.1,26.1,113,95,6.2,7.6,13.8,0.234,0.1,4.3,4.4,4.6,2004,1,1,5,ORL,Yes,2004,HSEra,2008,2009,13758000.00, bballref 
howarjo012003-04,2986,Josh Howard,howarjo01,23,DAL,NBA,2003-04,67,29,1589,15.7,0.124,0.259,9.9,15.4,12.6,8.8,2.2,2.5,10.2,18.2,107,105,2.3,1.2,3.5,0.104,0.6,0.5,1.2,1.3,2003,1,29,1,DAL,Yes,2003,HSEra,2003,2004,773400.00, bballref 
howarjo012004-05,3243,Josh Howard,howarjo01,24,DAL,NBA,2004-05,76,76,2446,15.8,0.145,0.293,7.9,14.1,11.1,7.2,2.5,1.5,12,18.6,108,103,3,3.4,6.4,0.126,0.8,1.7,2.5,2.8,2003,1,29,2,DAL,Yes,2003,HSEra,2004,2005,863640.00, bballref 
howarjo012005-06,3509,Josh Howard,howarjo01,25,DAL,NBA,2005-06,59,58,1915,19.3,0.085,0.359,7.9,15.3,11.7,10.4,1.9,1,8.4,22.9,115,105,4.4,2.3,6.7,0.168,2.2,0.1,2.3,2,2003,1,29,3,DAL,Yes,2003,HSEra,2005,2006,923880.00, bballref 
howarjo012006-07,3775,Josh Howard,howarjo01,26,DAL,NBA,2006-07,70,69,2455,20,0.222,0.273,6.5,16.6,11.7,9.2,1.8,1.7,9.3,25.2,112,102,5,3.8,8.8,0.173,2.1,0.7,2.8,3,2003,1,29,4,DAL,Yes,2003,HSEra,2006,2007,1667603.00, bballref 
